asset_id,building_id,asset_type,installation_year,last_maintenance_date
ASSET_001,BLDG_A,HVAC Unit,2017,2023-10-01
ASSET_002,BLDG_C,Elevator,1994,2023-06-23
ASSET_003,BLDG_D,Elevator,2002,2024-12-06
ASSET_004,BLDG_C,Boiler,2000,2024-08-10
ASSET_005,BLDG_E,Elevator,1998,2024-04-18
ASSET_006,BLDG_B,Elevator,2020,
ASSET_007,BLDG_D,HVAC Unit,1987,2024-06-04
ASSET_008,BLDG_E,Boiler,1983,
ASSET_009,BLDG_D,HVAC Unit,2012,2024-10-22
ASSET_010,BLDG_D,Roof Section,2005,
ASSET_011,BLDG_C,Plumbing Main Stack,2016,2023-12-03
ASSET_012,BLDG_B,Plumbing Main Stack,2013,2025-03-15
ASSET_013,BLDG_D,Roof Section,1997,2024-01-17
ASSET_014,BLDG_A,Plumbing Main Stack,2016,2024-04-20
ASSET_015,BLDG_B,Boiler,2016,2023-07-09
ASSET_016,BLDG_A,Plumbing Main Stack,1991,
ASSET_017,BLDG_A,Roof Section,2016,
ASSET_018,BLDG_E,Plumbing Main Stack,2014,2025-02-05
ASSET_019,BLDG_E,HVAC Unit,2001,2024-02-03
ASSET_020,BLDG_A,Boiler,2001,2024-01-17
ASSET_021,BLDG_B,Roof Section,2020,2024-12-15
ASSET_022,BLDG_D,Boiler,1980,2025-05-10
ASSET_023,BLDG_E,Plumbing Main Stack,2020,2023-07-13
ASSET_024,BLDG_A,Plumbing Main Stack,1994,2025-05-20
ASSET_025,BLDG_E,Boiler,1999,2024-03-19
ASSET_026,BLDG_D,Roof Section,2015,2023-11-30
ASSET_027,BLDG_E,HVAC Unit,2019,2024-09-21
ASSET_028,BLDG_A,Plumbing Main Stack,1994,2024-04-17
ASSET_029,BLDG_C,Elevator,2016,2024-03-04
ASSET_030,BLDG_E,Boiler,2015,
ASSET_031,BLDG_E,Boiler,1991,2025-04-20
ASSET_032,BLDG_A,Plumbing Main Stack,2010,2024-03-20
ASSET_033,BLDG_C,Elevator,1982,2024-12-29
ASSET_034,BLDG_C,Elevator,1990,2024-11-29
ASSET_035,BLDG_E,HVAC Unit,2019,2023-08-15
ASSET_036,BLDG_D,Boiler,2002,2023-08-20
ASSET_037,BLDG_E,Boiler,1996,2024-04-06
ASSET_038,BLDG_C,Plumbing Main Stack,1984,2024-08-12
ASSET_039,BLDG_B,HVAC Unit,2016,2024-01-15
ASSET_040,BLDG_C,Boiler,1992,
ASSET_041,BLDG_B,Roof Section,2012,2023-09-02
ASSET_042,BLDG_D,Boiler,2007,
ASSET_043,BLDG_D,Boiler,1989,2023-12-29
ASSET_044,BLDG_C,Roof Section,1989,2025-01-30
ASSET_045,BLDG_E,Boiler,1988,2024-04-27
ASSET_046,BLDG_A,Roof Section,2008,
ASSET_047,BLDG_A,Roof Section,2001,2024-11-14
ASSET_048,BLDG_B,HVAC Unit,2014,2023-09-14
ASSET_049,BLDG_A,Roof Section,2015,2024-05-12
ASSET_050,BLDG_E,Plumbing Main Stack,2012,2025-05-15
