wo_id,asset_id,created_date,closed_date,complaint_type_simulated,resolution_text_simulated,assigned_contractor_id,actual_rework_needed
WO_0001,ASSET_038,2025-03-11,2025-03-22,Structural Concern,Complete system overhaul,CONTR_001,False
WO_0002,ASSET_025,2022-06-25,2022-07-25,Pressure Problem,Full system recalibration,CONTR_003,True
WO_0003,ASSET_034,2023-05-03,2023-05-06,Structural Concern,Full system recalibration,CONTR_001,False
WO_0004,ASSET_013,2023-02-04,2023-02-13,Temperature Issue,Full system recalibration,CONTR_003,True
WO_0005,ASSET_050,2023-05-16,2023-06-07,Air Quality,Reset unit,CONTR_003,True
WO_0006,ASSET_039,2024-11-03,2024-11-29,No Heat,Temporary patch applied,CONTR_002,False
WO_0007,ASSET_034,2022-11-06,2022-12-05,Vibration,Reset unit,,True
WO_0008,ASSET_018,2024-07-28,2024-08-02,Out of Service,Reset unit,CONTR_003,True
WO_0009,ASSET_014,2024-04-08,2024-04-22,Out of Service,Tightened connections,CONTR_005,False
WO_0010,ASSET_020,2024-05-26,2024-06-22,Vibration,Full system recalibration,CONTR_003,False
WO_0011,ASSET_049,2023-03-14,2023-04-09,Leak,Complete system overhaul,CONTR_004,False
WO_0012,ASSET_019,2024-10-29,2024-10-31,Water Quality,Adjusted settings,,True
WO_0013,ASSET_045,2024-10-27,2024-11-21,Pressure Problem,Temporary patch applied,CONTR_003,True
WO_0014,ASSET_048,2024-03-14,2024-03-25,Pressure Problem,Full system recalibration,CONTR_001,False
WO_0015,ASSET_015,2022-09-30,2022-10-24,Out of Service,Cleaned filters,CONTR_001,True
WO_0016,ASSET_029,2024-01-10,2024-01-31,Temperature Issue,Reset unit,CONTR_004,True
WO_0017,ASSET_001,2022-11-30,2022-12-05,Structural Concern,Adjusted settings,CONTR_001,False
WO_0018,ASSET_007,2023-11-05,2023-11-15,Pressure Problem,Adjusted settings,CONTR_003,True
WO_0019,ASSET_043,2024-01-13,2024-02-11,Structural Concern,Full pipe segment replaced,CONTR_003,True
WO_0020,ASSET_011,2023-01-20,2023-02-18,Temperature Issue,Temporary patch applied,CONTR_003,True
WO_0021,ASSET_049,2024-02-18,2024-02-20,Temperature Issue,Temporary patch applied,CONTR_003,False
WO_0022,ASSET_017,2023-12-20,2024-01-11,Out of Service,Cleared blockage,CONTR_002,False
WO_0023,ASSET_032,2023-09-13,2023-10-11,Strange Noise,Full system recalibration,CONTR_001,False
WO_0024,ASSET_031,2025-04-14,2025-05-06,Out of Service,Tightened connections,,True
WO_0025,ASSET_003,2023-11-11,2023-11-12,Leak,Temporary patch applied,CONTR_003,False
WO_0026,ASSET_031,2022-07-27,2022-08-19,Leak,Major component replacement,CONTR_005,True
WO_0027,ASSET_022,2023-07-14,2023-07-15,Pressure Problem,Complete system overhaul,,True
WO_0028,ASSET_043,2023-01-27,2023-02-16,Leak,Adjusted settings,CONTR_005,True
WO_0029,ASSET_043,2022-10-27,2022-11-23,Out of Service,Complete system overhaul,,False
WO_0030,ASSET_043,2022-07-07,2022-08-04,Leak,Complete system overhaul,CONTR_003,False
WO_0031,ASSET_032,2023-03-18,2023-04-08,Vibration,Replaced compressor,,False
WO_0032,ASSET_031,2024-04-22,2024-05-06,Pressure Problem,Reset unit,CONTR_002,True
WO_0033,ASSET_032,2024-03-10,2024-03-24,Temperature Issue,Replaced compressor,CONTR_003,False
WO_0034,ASSET_027,2023-09-09,2023-09-24,Air Quality,Cleaned filters,,False
WO_0035,ASSET_048,2023-10-25,2023-11-08,Strange Noise,Tightened connections,CONTR_003,True
WO_0036,ASSET_031,2022-08-17,2022-09-15,Temperature Issue,Structural reinforcement applied,CONTR_005,True
WO_0037,ASSET_024,2024-03-31,2024-04-22,Leak,Cleaned filters,CONTR_004,True
WO_0038,ASSET_018,2022-08-10,2022-08-29,Temperature Issue,Full system recalibration,CONTR_005,False
WO_0039,ASSET_001,2023-05-16,2023-06-09,Strange Noise,Full system recalibration,CONTR_004,False
WO_0040,ASSET_017,2024-02-12,2024-02-23,Air Quality,Full system recalibration,CONTR_003,False
WO_0041,ASSET_020,2022-05-29,2022-06-23,No Heat,Temporary patch applied,,True
WO_0042,ASSET_036,2024-03-03,2024-03-14,Water Quality,Replaced compressor,CONTR_005,True
WO_0043,ASSET_046,2024-04-04,2024-04-28,Pressure Problem,Cleared blockage,CONTR_002,True
WO_0044,ASSET_043,2024-04-29,2024-05-04,Vibration,Structural reinforcement applied,CONTR_004,False
WO_0045,ASSET_048,2024-10-13,2024-11-05,Structural Concern,Temporary patch applied,CONTR_002,True
WO_0046,ASSET_027,2024-09-27,2024-10-23,No Heat,Major component replacement,,False
WO_0047,ASSET_026,2024-01-04,2024-01-06,Leak,Structural reinforcement applied,CONTR_004,False
WO_0048,ASSET_017,2025-03-30,2025-04-19,Water Quality,Complete system overhaul,CONTR_002,False
WO_0049,ASSET_018,2024-07-18,2024-07-21,No Heat,Structural reinforcement applied,CONTR_005,False
WO_0050,ASSET_042,2023-02-19,2023-03-17,Structural Concern,Structural reinforcement applied,CONTR_005,False
WO_0051,ASSET_028,2024-11-07,2024-11-12,Structural Concern,Full pipe segment replaced,CONTR_005,True
WO_0052,ASSET_014,2024-05-21,2024-06-11,Strange Noise,Cleaned filters,CONTR_002,True
WO_0053,ASSET_018,2024-04-11,2024-04-15,Water Quality,Tightened connections,CONTR_003,True
WO_0054,ASSET_040,2024-07-10,2024-08-04,Pressure Problem,Tightened connections,CONTR_005,True
WO_0055,ASSET_037,2024-03-22,2024-04-02,Leak,Major component replacement,CONTR_003,False
WO_0056,ASSET_045,2024-01-26,2024-02-11,No Heat,Full system recalibration,CONTR_005,False
WO_0057,ASSET_018,2024-03-13,2024-03-25,Pressure Problem,Cleaned filters,CONTR_005,False
WO_0058,ASSET_010,2022-09-14,2022-09-27,Strange Noise,Structural reinforcement applied,CONTR_004,False
WO_0059,ASSET_041,2023-05-29,2023-06-04,Water Quality,Reset unit,CONTR_002,False
WO_0060,ASSET_029,2024-04-08,2024-04-15,Strange Noise,Tightened connections,CONTR_001,False
WO_0061,ASSET_004,2024-03-28,2024-04-19,No Heat,Complete system overhaul,CONTR_004,False
WO_0062,ASSET_010,2023-02-10,2023-03-01,Water Quality,Major component replacement,CONTR_003,False
WO_0063,ASSET_018,2024-12-23,2024-12-24,Vibration,Major component replacement,CONTR_002,False
WO_0064,ASSET_008,2024-09-04,2024-09-07,Vibration,Replaced compressor,CONTR_001,False
WO_0065,ASSET_044,2024-12-17,2024-12-18,No Heat,Complete system overhaul,CONTR_004,False
WO_0066,ASSET_006,2023-05-14,2023-05-28,Strange Noise,Full pipe segment replaced,CONTR_005,False
WO_0067,ASSET_045,2024-12-11,2024-12-19,Water Quality,Tightened connections,,False
WO_0068,ASSET_006,2025-03-21,2025-03-30,Structural Concern,Major component replacement,CONTR_004,False
WO_0069,ASSET_040,2023-03-08,2023-03-25,Out of Service,Temporary patch applied,CONTR_004,True
WO_0070,ASSET_049,2024-09-30,2024-10-07,No Heat,Cleared blockage,CONTR_001,True
WO_0071,ASSET_025,2024-08-25,2024-08-26,Out of Service,Adjusted settings,,True
WO_0072,ASSET_008,2022-09-03,2022-09-19,Out of Service,Replaced compressor,CONTR_001,True
WO_0073,ASSET_047,2023-07-13,2023-08-10,Temperature Issue,Complete system overhaul,CONTR_003,False
WO_0074,ASSET_037,2024-05-29,2024-06-17,Structural Concern,Temporary patch applied,,False
WO_0075,ASSET_035,2022-08-22,2022-09-03,Temperature Issue,Cleared blockage,CONTR_003,True
WO_0076,ASSET_047,2022-05-29,2022-06-01,Out of Service,Replaced compressor,CONTR_003,False
WO_0077,ASSET_033,2025-04-29,2025-04-30,Water Quality,Reset unit,CONTR_005,True
WO_0078,ASSET_022,2024-12-28,2025-01-27,Strange Noise,Full pipe segment replaced,CONTR_001,False
WO_0079,ASSET_026,2023-09-27,2023-10-10,Leak,Adjusted settings,CONTR_002,True
WO_0080,ASSET_050,2024-04-29,2024-05-05,Water Quality,Structural reinforcement applied,CONTR_001,False
WO_0081,ASSET_039,2024-10-04,2024-11-01,Water Quality,Full system recalibration,CONTR_001,True
WO_0082,ASSET_005,2022-05-28,2022-06-03,Water Quality,Replaced compressor,CONTR_002,False
WO_0083,ASSET_001,2024-02-13,2024-02-22,Out of Service,Reset unit,CONTR_002,False
WO_0084,ASSET_046,2025-03-24,2025-03-29,No Heat,Reset unit,CONTR_005,True
WO_0085,ASSET_023,2024-09-10,2024-09-19,No Heat,Cleared blockage,,False
WO_0086,ASSET_024,2025-01-31,2025-02-13,Vibration,Tightened connections,,False
WO_0087,ASSET_027,2024-04-20,2024-05-18,Pressure Problem,Full pipe segment replaced,CONTR_002,False
WO_0088,ASSET_009,2022-12-22,2022-12-30,Pressure Problem,Adjusted settings,CONTR_004,True
WO_0089,ASSET_043,2022-10-29,2022-11-02,Out of Service,Major component replacement,CONTR_005,False
WO_0090,ASSET_005,2024-07-22,2024-08-08,No Heat,Full system recalibration,CONTR_002,False
WO_0091,ASSET_017,2022-09-23,2022-09-29,Strange Noise,Major component replacement,CONTR_005,False
WO_0092,ASSET_002,2024-05-28,2024-06-06,Structural Concern,Cleaned filters,,True
WO_0093,ASSET_003,2023-05-21,2023-06-15,Leak,Adjusted settings,CONTR_005,True
WO_0094,ASSET_027,2023-06-15,2023-07-03,Pressure Problem,Major component replacement,CONTR_004,False
WO_0095,ASSET_004,2023-04-14,2023-04-27,Water Quality,Full system recalibration,CONTR_001,False
WO_0096,ASSET_043,2024-08-06,2024-08-11,Strange Noise,Cleaned filters,CONTR_003,True
WO_0097,ASSET_003,2023-07-31,2023-08-22,Pressure Problem,Reset unit,,True
WO_0098,ASSET_023,2025-01-01,2025-01-23,Structural Concern,Cleaned filters,CONTR_001,True
WO_0099,ASSET_041,2025-04-21,2025-04-22,Water Quality,Adjusted settings,,False
WO_0100,ASSET_037,2024-11-21,2024-12-02,Temperature Issue,Full pipe segment replaced,,False
WO_0101,ASSET_021,2024-09-20,2024-10-12,Air Quality,Replaced compressor,CONTR_003,False
WO_0102,ASSET_018,2024-08-25,2024-09-05,Structural Concern,Temporary patch applied,CONTR_004,False
WO_0103,ASSET_043,2024-01-31,2024-02-10,Air Quality,Replaced compressor,CONTR_002,False
WO_0104,ASSET_037,2025-01-23,2025-02-16,Water Quality,Cleared blockage,CONTR_003,True
WO_0105,ASSET_032,2024-08-30,2024-09-23,Strange Noise,Full pipe segment replaced,CONTR_004,False
WO_0106,ASSET_005,2024-09-14,2024-09-21,Water Quality,Tightened connections,CONTR_001,False
WO_0107,ASSET_046,2024-02-06,2024-03-06,Temperature Issue,Temporary patch applied,CONTR_003,True
WO_0108,ASSET_039,2022-10-25,2022-11-17,Temperature Issue,Full pipe segment replaced,CONTR_004,False
WO_0109,ASSET_048,2024-07-30,2024-08-25,Structural Concern,Temporary patch applied,CONTR_005,False
WO_0110,ASSET_038,2022-11-11,2022-12-11,Water Quality,Major component replacement,CONTR_003,False
WO_0111,ASSET_032,2024-08-05,2024-08-20,Pressure Problem,Tightened connections,,False
